symbol,buy_date,sell_date,buy_price,sell_price,qty,roi,pnl,holding_days,peak_profit_percent,peak_drawdown_percent,peak_price,bottom_price
BAJFINANCE,2019-01-11,2019-02-11,251.42,265.72,99,5.688,1415.7,31,7.839,-2.215,271.13,245.85
BAJFINANCE,2019-03-12,2019-05-06,275.31,303.43,88,10.214,2474.56,55,13.755,0.0,313.18,275.31
BAJFINANCE,2019-10-15,2020-01-27,387.95,416.44,77,7.344,2193.73,104,9.62,0.0,425.27,387.95
BAJFINANCE,2021-10-12,2021-12-13,785.58,721.88,106,-8.109,-6752.2,62,0.936,-13.349,792.93,680.71
BAJFINANCE,2025-04-22,2025-07-28,926.05,880.5,357,-4.919,-16261.35,97,4.562,-6.76,968.3,863.45
BAJFINANCE,2025-10-14,2026-01-12,1019.15,951.9,399,-6.599,-26832.75,90,7.359,-6.599,1094.15,951.9
BEL,2022-07-19,2022-12-19,85.05,100.45,1141,18.107,17571.4,153,32.687,-0.094,112.85,84.97
BEL,2023-05-11,2024-10-21,108.6,282.3,1145,159.945,198886.5,529,208.932,-1.473,335.5,107.0
BEL,2025-06-11,2025-07-28,392.9,389.25,833,-0.929,-3040.45,47,10.015,-1.4,432.25,387.4
BEL,2025-10-14,2026-01-19,402.4,412.8,1010,2.584,10504.0,97,6.188,-4.709,427.3,383.45
BHARTIARTL,2020-04-28,2020-09-10,485.65,497.35,75,2.409,877.5,135,23.299,0.0,598.8,485.65
BHARTIARTL,2022-11-11,2022-12-19,826.9,840.4,109,1.633,1471.5,38,2.939,-0.605,851.2,821.9
BHARTIARTL,2024-09-11,2024-10-21,1577.8,1692.55,111,7.273,12737.25,40,12.251,0.0,1771.1,1577.8
BHARTIARTL,2025-04-22,2025-07-28,1852.2,1890.3,178,2.057,6781.8,97,9.81,-2.338,2033.9,1808.9
CIPLA,2020-04-28,2021-08-10,598.6,912.6,61,52.456,19154.0,469,63.649,-4.82,979.6,569.75
CIPLA,2023-08-11,2023-10-10,1248.25,1155.05,102,-7.466,-9506.4,60,0.681,-7.466,1256.75,1155.05
COALINDIA,2022-07-19,2022-12-19,198.25,227.3,489,14.653,14205.45,153,29.029,-0.58,255.8,197.1
